Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
a_tie44,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name4]</font color> a total stranger, especially close, or in-between with <font color=red>[name9]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_4] = ""1"" AND [name_9] = ""1""",y,,,,,
a_tie45,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name4]</font color> a total stranger, especially close, or in-between with <font color=red>[name10]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_4] = ""1"" AND [name_10] = ""1""",y,,,,,
a_tie46,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name4]</font color> a total stranger, especially close, or in-between with <font color=red>[name11]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_4] = ""1"" AND ([first] < 10 and [name_11] = ""1"")",y,,,,,
a_tie47,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name4]</font color> a total stranger, especially close, or in-between with <font color=red>[name12]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_4] = ""1"" AND (sum([first],[name_11])<10 and [name_12]=""1"")",y,,,,,
a_tie48,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name4]</font color> a total stranger, especially close, or in-between with <font color=red>[name13]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_4] = ""1"" AND (sum([first],[name_11],[name_12])<10 and [name_13]=""1"")",y,,,,,
a_tie49,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name4]</font color> a total stranger, especially close, or in-between with <font color=red>[name14]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_4] = ""1"" AND (sum([first],[name_11],[name_12],[name_13])<10 and [name_14]=""1"")",y,,,,,
a_tie50,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name4]</font color> a total stranger, especially close, or in-between with <font color=red>[name15]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_4] = ""1"" AND (sum([first],[name_11],[name_12],[name_13],[name_14])<10 and [name_15]=""1"")",y,,,,,
hdr4,personal_network_survey_for_clinical_research_als,,descriptive,"<hr style=""height:1px;border:none;color:#333;background-color:#333;"" />",,,,,,,[name_5] = 1 AND ([name_6] = 1 OR [name_7] = 1 OR [name_8] = 1 OR [name_9] = 1 OR [name_10] = 1 OR [name_11] = 1 OR [name_12] = 1 OR [name_13] = 1 OR [name_14] = 1 OR [name_15] = 1),,,,,,
a_tie51,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name5]</font color> a total stranger, especially close, or in-between with <font color=red>[name6]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_5] = ""1"" AND [name_6] = ""1""",y,,,,,
a_tie52,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name5]</font color> a total stranger, especially close, or in-between with <font color=red>[name7]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_5] = ""1"" AND [name_7] = ""1""",y,,,,,
a_tie53,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name5]</font color> a total stranger, especially close, or in-between with <font color=red>[name8]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_5] = ""1"" AND [name_8] = ""1""",y,,,,,
a_tie54,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name5]</font color> a total stranger, especially close, or in-between with <font color=red>[name9]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_5] = ""1"" AND [name_9] = ""1""",y,,,,,
a_tie55,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name5]</font color> a total stranger, especially close, or in-between with <font color=red>[name10]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_5] = ""1"" AND [name_10] = ""1""",y,,,,,
a_tie56,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name5]</font color> a total stranger, especially close, or in-between with <font color=red>[name11]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_5] = ""1"" AND ([first] < 10 and [name_11] = ""1"")",y,,,,,
a_tie57,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name5]</font color> a total stranger, especially close, or in-between with <font color=red>[name12]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_5] = ""1"" AND (sum([first],[name_11])<10 and [name_12]=""1"")",y,,,,,
a_tie58,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name5]</font color> a total stranger, especially close, or in-between with <font color=red>[name13]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_5] = ""1"" AND (sum([first],[name_11],[name_12])<10 and [name_13]=""1"")",y,,,,,
a_tie59,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name5]</font color> a total stranger, especially close, or in-between with <font color=red>[name14]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_5] = ""1"" AND (sum([first],[name_11],[name_12],[name_13])<10 and [name_14]=""1"")",y,,,,,
a_tie60,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name5]</font color> a total stranger, especially close, or in-between with <font color=red>[name15]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_5] = ""1"" AND (sum([first],[name_11],[name_12],[name_13],[name_14])<10 and [name_15]=""1"")",y,,,,,
hdr5,personal_network_survey_for_clinical_research_als,,descriptive,"<hr style=""height:1px;border:none;color:#333;background-color:#333;"" />",,,,,,,[name_6] = 1 AND ([name_7] = 1 OR [name_8] = 1 OR [name_9] = 1 OR [name_10] = 1 OR [name_11] = 1 OR [name_12] = 1 OR [name_13] = 1 OR [name_14] = 1 OR [name_15] = 1),,,,,,
a_tie61,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name6]</font color> a total stranger, especially close, or in-between with <font color=red>[name7]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_6] = ""1"" AND [name_7] = ""1""",y,,,,,
a_tie62,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name6]</font color> a total stranger, especially close, or in-between with <font color=red>[name8]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_6] = ""1"" AND [name_8] = ""1""",y,,,,,
a_tie63,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name6]</font color> a total stranger, especially close, or in-between with <font color=red>[name9]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_6] = ""1"" AND [name_9] = ""1""",y,,,,,
a_tie64,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name6]</font color> a total stranger, especially close, or in-between with <font color=red>[name10]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_6] = ""1"" AND [name_10] = ""1""",y,,,,,
a_tie65,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name6]</font color> a total stranger, especially close, or in-between with <font color=red>[name11]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_6] = ""1"" AND ([first] < 10 and [name_11] = ""1"")",y,,,,,
a_tie66,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name6]</font color> a total stranger, especially close, or in-between with <font color=red>[name12]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_6] = ""1"" AND (sum([first],[name_11])<10 and [name_12]=""1"")",y,,,,,
a_tie67,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name6]</font color> a total stranger, especially close, or in-between with <font color=red>[name13]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_6] = ""1"" AND (sum([first],[name_11],[name_12])<10 and [name_13]=""1"")",y,,,,,
a_tie68,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name6]</font color> a total stranger, especially close, or in-between with <font color=red>[name14]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_6] = ""1"" AND (sum([first],[name_11],[name_12],[name_13])<10 and [name_14]=""1"")",y,,,,,
a_tie69,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name6]</font color> a total stranger, especially close, or in-between with <font color=red>[name15]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_6] = ""1"" AND (sum([first],[name_11],[name_12],[name_13],[name_14])<10 and [name_15]=""1"")",y,,,,,
hdr6,personal_network_survey_for_clinical_research_als,,descriptive,"<hr style=""height:1px;border:none;color:#333;background-color:#333;"" />",,,,,,,[name_7] = 1  AND ([name_8] = 1 OR [name_9] = 1 OR [name_10] = 1 OR [name_11] = 1 OR [name_12] = 1 OR [name_13] = 1 OR [name_14] = 1 OR [name_15] = 1),,,,,,
a_tie70,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name7]</font color> a total stranger, especially close, or in-between with <font color=red>[name8]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_7] = ""1"" AND [name_8] = ""1""",y,,,,,
a_tie71,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name7]</font color> a total stranger, especially close, or in-between with <font color=red>[name9]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_7] = ""1"" AND [name_9] = ""1""",y,,,,,
a_tie72,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name7]</font color> a total stranger, especially close, or in-between with <font color=red>[name10]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_7] = ""1"" AND [name_10] = ""1""",y,,,,,
a_tie73,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name7]</font color> a total stranger, especially close, or in-between with <font color=red>[name11]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_7] = ""1"" AND ([first] < 10 and [name_11] = ""1"")",y,,,,,
a_tie74,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name7]</font color> a total stranger, especially close, or in-between with <font color=red>[name12]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_7] = ""1"" AND (sum([first],[name_11])<10 and [name_12]=""1"")",y,,,,,
a_tie75,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name7]</font color> a total stranger, especially close, or in-between with <font color=red>[name13]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_7] = ""1"" AND (sum([first],[name_11],[name_12])<10 and [name_13]=""1"")",y,,,,,
a_tie76,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name7]</font color> a total stranger, especially close, or in-between with <font color=red>[name14]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_7] = ""1"" AND (sum([first],[name_11],[name_12],[name_13])<10 and [name_14]=""1"")",y,,,,,
a_tie77,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name7]</font color> a total stranger, especially close, or in-between with <font color=red>[name15]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_7] = ""1"" AND (sum([first],[name_11],[name_12],[name_13],[name_14])<10 and [name_15]=""1"")",y,,,,,
hdr7,personal_network_survey_for_clinical_research_als,,descriptive,"<hr style=""height:1px;border:none;color:#333;background-color:#333;"" />",,,,,,,[name_8] = 1 AND ([name_9] = 1 OR [name_10] = 1 OR [name_11] = 1 OR [name_12] = 1 OR [name_13] = 1 OR [name_14] = 1 OR [name_15] = 1),,,,,,
a_tie78,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name8]</font color> a total stranger, especially close, or in-between with <font color=red>[name9]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_8] = ""1"" AND [name_9] = ""1""",y,,,,,
a_tie79,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name8]</font color> a total stranger, especially close, or in-between with <font color=red>[name10]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_8] = ""1"" AND [name_10] = ""1""",y,,,,,
a_tie80,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name8]</font color> a total stranger, especially close, or in-between with <font color=red>[name11]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_8] = ""1"" AND ([first] < 10 and [name_11] = ""1"")",y,,,,,
a_tie81,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name8]</font color> a total stranger, especially close, or in-between with <font color=red>[name12]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_8] = ""1"" AND (sum([first],[name_11])<10 and [name_12]=""1"")",y,,,,,
a_tie82,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name8]</font color> a total stranger, especially close, or in-between with <font color=red>[name13]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_8] = ""1"" AND (sum([first],[name_11],[name_12])<10 and [name_13]=""1"")",y,,,,,
a_tie83,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name8]</font color> a total stranger, especially close, or in-between with <font color=red>[name14]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_8] = ""1"" AND (sum([first],[name_11],[name_12],[name_13])<10 and [name_14]=""1"")",y,,,,,
a_tie84,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name8]</font color> a total stranger, especially close, or in-between with <font color=red>[name15]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_8] = ""1"" AND (sum([first],[name_11],[name_12],[name_13],[name_14])<10 and [name_15]=""1"")",y,,,,,
hdr8,personal_network_survey_for_clinical_research_als,,descriptive,"<hr style=""height:1px;border:none;color:#333;background-color:#333;"" />",,,,,,,[name_9] = 1 AND ([name_10] = 1 OR [name_11] = 1 OR [name_12] = 1 OR [name_13] = 1 OR [name_14] = 1 OR [name_15] = 1),,,,,,
a_tie85,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name9]</font color> a total stranger, especially close, or in-between with <font color=red>[name10]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_9] = ""1"" AND [name_10] = ""1""",y,,,,,
a_tie86,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name9]</font color> a total stranger, especially close, or in-between with <font color=red>[name11]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_9] = ""1"" AND ([first] < 10 and [name_11] = ""1"")",y,,,,,
a_tie87,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name9]</font color> a total stranger, especially close, or in-between with <font color=red>[name12]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_9] = ""1"" AND (sum([first],[name_11])<10 and [name_12]=""1"")",y,,,,,
a_tie88,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name9]</font color> a total stranger, especially close, or in-between with <font color=red>[name13]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_9] = ""1"" AND (sum([first],[name_11],[name_12])<10 and [name_13]=""1"")",y,,,,,
a_tie89,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name9]</font color> a total stranger, especially close, or in-between with <font color=red>[name14]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_9] = ""1"" AND (sum([first],[name_11],[name_12],[name_13])<10 and [name_14]=""1"")",y,,,,,
a_tie90,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name9]</font color> a total stranger, especially close, or in-between with <font color=red>[name15]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_9] = ""1"" AND (sum([first],[name_11],[name_12],[name_13],[name_14])<10 and [name_15]=""1"")",y,,,,,
hdr9,personal_network_survey_for_clinical_research_als,,descriptive,"<hr style=""height:1px;border:none;color:#333;background-color:#333;"" />",,,,,,,[name_10] = 1 AND ([name_11] = 1 OR [name_12] = 1 OR [name_13] = 1 OR [name_14] = 1 OR [name_15] = 1),,,,,,
a_tie91,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name10]</font color> a total stranger, especially close, or in-between with <font color=red>[name11]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_10] = ""1"" AND ([first] < 10 and [name_11] = ""1"")",y,,,,,
a_tie92,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name10]</font color> a total stranger, especially close, or in-between with <font color=red>[name12]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_10] = ""1"" AND (sum([first],[name_11])<10 and [name_12]=""1"")",y,,,,,
a_tie93,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name10]</font color> a total stranger, especially close, or in-between with <font color=red>[name13]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_10] = ""1"" AND (sum([first],[name_11],[name_12])<10 and [name_13]=""1"")",y,,,,,
a_tie94,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name10]</font color> a total stranger, especially close, or in-between with <font color=red>[name14]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_10] = ""1"" AND (sum([first],[name_11],[name_12],[name_13])<10 and [name_14]=""1"")",y,,,,,
a_tie95,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name10]</font color> a total stranger, especially close, or in-between with <font color=red>[name15]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_10] = ""1"" AND (sum([first],[name_11],[name_12],[name_13],[name_14])<10 and [name_15]=""1"")",y,,,,,
hdr10,personal_network_survey_for_clinical_research_als,,descriptive,"<hr style=""height:1px;border:none;color:#333;background-color:#333;"" />",,,,,,,"([first] < 10 and [name_11] = ""1"") AND (sum([first],[name_11])<10) AND ([name_12] = 1 OR [name_13] = 1 OR [name_14] = 1 OR [name_15] = 1)",,,,,,
a_tie96,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name11]</font color> a total stranger, especially close, or in-between with <font color=red>[name12]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"([first] < 10 and [name_11] = ""1"") AND (sum([first],[name_11])<10 and [name_12]=""1"")",y,,,,,
a_tie97,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name11]</font color> a total stranger, especially close, or in-between with <font color=red>[name13]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"([first] < 10 and [name_11] = ""1"") AND (sum([first],[name_11],[name_12])<10 and [name_13]=""1"")",y,,,,,
a_tie98,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name11]</font color> a total stranger, especially close, or in-between with <font color=red>[name14]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"([first] < 10 and [name_11] = ""1"") AND (sum([first],[name_11],[name_12],[name_13])<10 and [name_14]=""1"")",y,,,,,
a_tie99,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name11]</font color> a total stranger, especially close, or in-between with <font color=red>[name15]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"([first] < 10 and [name_11] = ""1"") AND (sum([first],[name_11],[name_12],[name_13],[name_14])<10 and [name_15]=""1"")",y,,,,,
hdr11,personal_network_survey_for_clinical_research_als,,descriptive,"<hr style=""height:1px;border:none;color:#333;background-color:#333;"" />",,,,,,,"([name_12]=""1"") AND (sum([first],[name_11],[name_12])<10) AND ([name_13] = 1 OR [name_14] = 1 OR [name_15] = 1)",,,,,,
a_tie100,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name12]</font color> a total stranger, especially close, or in-between with <font color=red>[name13]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"(sum([first],[name_11])<10 and [name_12]=""1"") AND (sum([first],[name_11],[name_12])<10 and [name_13]=""1"")",y,,,,,
a_tie101,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name12]</font color> a total stranger, especially close, or in-between with <font color=red>[name14]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"(sum([first],[name_11])<10 and [name_12]=""1"") AND (sum([first],[name_11],[name_12],[name_13])<10 and [name_14]=""1"")",y,,,,,
a_tie102,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name12]</font color> a total stranger, especially close, or in-between with <font color=red>[name15]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"(sum([first],[name_11])<10 and [name_12]=""1"") AND (sum([first],[name_11],[name_12],[name_13],[name_14])<10 and [name_15]=""1"")",y,,,,,
hdr12,personal_network_survey_for_clinical_research_als,,descriptive,"<hr style=""height:1px;border:none;color:#333;background-color:#333;"" />",,,,,,,"([name_13]=""1"") AND (sum([first],[name_11],[name_12],[name_13])<10) AND ([name_14] = 1 OR [name_15] = 1)",,,,,,
a_tie103,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name13]</font color> a total stranger, especially close, or in-between with <font color=red>[name14]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"(sum([first],[name_11],[name_12])<10 and [name_13]=""1"") AND (sum([first],[name_11],[name_12],[name_13])<10 and [name_14]=""1"")",y,,,,,
a_tie104,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name13]</font color> a total stranger, especially close, or in-between with <font color=red>[name15]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"(sum([first],[name_11],[name_12])<10 and [name_13]=""1"") AND (sum([first],[name_11],[name_12],[name_13],[name_14])<10 and [name_15]=""1"")",y,,,,,
hdr13,personal_network_survey_for_clinical_research_als,,descriptive,"<hr style=""height:1px;border:none;color:#333;background-color:#333;"" />",,,,,,,"(sum([first],[name_11],[name_12])<10 AND [name_14]=""1"") AND (sum([first],[name_11],[name_12],[name_13])<10) AND ([name_15] = 1)",,,,,,
a_tie105,personal_network_survey_for_clinical_research_als,,radio,"Is <font color=red>[name14]</font color> a total stranger, especially close, or in-between with <font color=red>[name15]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"(sum([first],[name_11],[name_12],[name_13])<10 and [name_14]=""1"") AND (sum([first],[name_11],[name_12],[name_13],[name_14])<10 and [name_15]=""1"")",y,,,,,
progress_50p,personal_network_survey_for_clinical_research_als,,descriptive,"<div class=""green"" style=""text-align:center;""><b>You've completed 50% of the survey - great job!</b></div>",,,,,,,[name_1] > '0',,,,,,
name1support,personal_network_survey_for_clinical_research_als,"<span style=""text-decoration:underline; font-size:13pt;"">About People in Your Network</span><span style=""font-size:8.0pt"">
</span><span style=""font-size:8.0pt"">
</span><span style=""font-weight:normal;"">I am going to ask you a series of questions about each person in your network. In some cases, you may not know the exact answer for sure. Whenever possible, I would appreciate if you would guess - try to use the ""don't know"" category as little as possible.</span>

Which person or persons support you most often? You can choose more than one person.",radio,[name1],"1, Supports me most often",,,,,,"[name_1] = ""1""",,,,support,,
name2support,personal_network_survey_for_clinical_research_als,,radio,[name2],"1, Supports me most often",,,,,,"[name_2] = ""1""",,,,support,,
name3support,personal_network_survey_for_clinical_research_als,,radio,[name3],"1, Supports me most often",,,,,,"[name_3] = ""1""",,,,support,,
name4support,personal_network_survey_for_clinical_research_als,,radio,[name4],"1, Supports me most often",,,,,,"[name_4] = ""1""",,,,support,,
name5support,personal_network_survey_for_clinical_research_als,,radio,[name5],"1, Supports me most often",,,,,,"[name_5] = ""1""",,,,support,,
name6support,personal_network_survey_for_clinical_research_als,,radio,[name6],"1, Supports me most often",,,,,,"[name_6] = ""1""",,,,support,,
name7support,personal_network_survey_for_clinical_research_als,,radio,[name7],"1, Supports me most often",,,,,,"[name_7] = ""1""",,,,support,,
name8support,personal_network_survey_for_clinical_research_als,,radio,[name8],"1, Supports me most often",,,,,,"[name_8] = ""1""",,,,support,,
name9support,personal_network_survey_for_clinical_research_als,,radio,[name9],"1, Supports me most often",,,,,,"[name_9] = ""1""",,,,support,,
name10support,personal_network_survey_for_clinical_research_als,,radio,[name10],"1, Supports me most often",,,,,,"[name_10] = ""1""",,,,support,,
name11support,personal_network_survey_for_clinical_research_als,,radio,[name11],"1, Supports me most often",,,,,,"[first] < 10 and [name_11] = ""1""",,,,support,,
name12support,personal_network_survey_for_clinical_research_als,,radio,[name12],"1, Supports me most often",,,,,,"sum([first],[name_11])<10 and [name_12]=""1""",,,,support,,
name13support,personal_network_survey_for_clinical_research_als,,radio,[name13],"1, Supports me most often",,,,,,"sum([first],[name_11],[name_12])<10 and [name_13]=""1""",,,,support,,
name14support,personal_network_survey_for_clinical_research_als,,radio,[name14],"1, Supports me most often",,,,,,"sum([first],[name_11],[name_12],[name_13])<10 and [name_14]=""1""",,,,support,,
name15support,personal_network_survey_for_clinical_research_als,,radio,[name15],"1, Supports me most often",,,,,,"sum([first],[name_11],[name_12],[name_13],[name_14])<10 and [name_15]=""1""",,,,support,,
name1supptype,personal_network_survey_for_clinical_research_als,"What kind of support does each person give you? (Select all that apply)

<u>Types of Support</u><ul><span style = ""font-weight:lighter""><li><b>Emotional Support: </b>This would be someone who you turn to when you need help managing personal situations, and share feelings of happiness or sadness.</li><li><b>Life Advice: </b>This would be someone who gives you advice on life decisions such as employment or places to live.</li><li><b>Financial Support: </b>This would be someone who gives you advice or provides direct help with your daily or overall finances.</li><li><b>Physical or Health Support: </b>This would be someone who gives you advice on or provides direct help with medications/supplements, choosing doctors or getting to appointments, mental health resources, managing health insurance, physical assistance around your home and with activities of daily living. </li><li><b>Camaraderie: </b>This would be someone who provides support through understanding important experiences that you have had together.</li></ul></span>",checkbox,[name1],"1, Emotional support | 2, Life advice | 3, Financial support | 4, Physical or Health <br> support | 5, Camaraderie | 0, None",,,,,,"[name_1] = ""1""",,,,support_type,,
name2supptype,personal_network_survey_for_clinical_research_als,,checkbox,[name2],"1, Emotional support | 2, Life advice | 3, Financial support | 4, Physical or Health <br> support | 5, Camaraderie | 0, None",,,,,,"[name_2] = ""1""",,,,support_type,,
name3supptype,personal_network_survey_for_clinical_research_als,,checkbox,[name3],"1, Emotional support | 2, Life advice | 3, Financial support | 4, Physical or Health <br> support | 5, Camaraderie | 0, None",,,,,,"[name_3] = ""1""",,,,support_type,,
name4supptype,personal_network_survey_for_clinical_research_als,,checkbox,[name4],"1, Emotional support | 2, Life advice | 3, Financial support | 4, Physical or Health <br> support | 5, Camaraderie | 0, None",,,,,,"[name_4] = ""1""",,,,support_type,,
name5supptype,personal_network_survey_for_clinical_research_als,,checkbox,[name5],"1, Emotional support | 2, Life advice | 3, Financial support | 4, Physical or Health <br> support | 5, Camaraderie | 0, None",,,,,,"[name_5] = ""1""",,,,support_type,,
name6supptype,personal_network_survey_for_clinical_research_als,,checkbox,[name6],"1, Emotional support | 2, Life advice | 3, Financial support | 4, Physical or Health <br> support | 5, Camaraderie | 0, None",,,,,,"[name_6] = ""1""",,,,support_type,,
name7supptype,personal_network_survey_for_clinical_research_als,,checkbox,[name7],"1, Emotional support | 2, Life advice | 3, Financial support | 4, Physical or Health <br> support | 5, Camaraderie | 0, None",,,,,,"[name_7] = ""1""",,,,support_type,,
name8supptype,personal_network_survey_for_clinical_research_als,,checkbox,[name8],"1, Emotional support | 2, Life advice | 3, Financial support | 4, Physical or Health <br> support | 5, Camaraderie | 0, None",,,,,,"[name_8] = ""1""",,,,support_type,,
name9supptype,personal_network_survey_for_clinical_research_als,,checkbox,[name9],"1, Emotional support | 2, Life advice | 3, Financial support | 4, Physical or Health <br> support | 5, Camaraderie | 0, None",,,,,,"[name_9] = ""1""",,,,support_type,,
name10supptype,personal_network_survey_for_clinical_research_als,,checkbox,[name10],"1, Emotional support | 2, Life advice | 3, Financial support | 4, Physical or Health <br> support | 5, Camaraderie | 0, None",,,,,,"[name_10] = ""1""",,,,support_type,,
name11supptype,personal_network_survey_for_clinical_research_als,,checkbox,[name11],"1, Emotional support | 2, Life advice | 3, Financial support | 4, Physical or Health <br> support | 5, Camaraderie | 0, None",,,,,,"[first] < 10 and [name_11] = ""1""",,,,support_type,,
